district_pt,Count
PT70,877
PT8,808
PT80,994
"PT800150,PTJCW2P4",90
PT9,626
PT90,343
PT900020,4
PT900090,28
PT900120,330
PT900140,12
"PT900140,PTJCW2P6",393
PT900150,83
PT900180,152
"PT900180,PTJCW2P7",902
"PT900190,PTJCW4P1",587
"PT900210,PTJCW4P3",900
PT900230,145
PT900250,113
"PT900260,PTJCW2P5",538
PT900280,853
"PTALDM,PTALDW,PTALRM,PTALRW",107
"PTBBDM,PTBBDW,PTBBRM,PTBBRW",116
"PTBRDM,PTBRDW,PTBRRM,PTBRRW",66
"PTBVDM,PTBVDW,PTBVRM,PTBVRW",160
PTCAMD,316
PTCOM01,139
PTCOM02,539
PTCOM03,810
PTCOM04,1307
PTCOM05,1238
PTCOM06,741
PTCOM07,632
PTCOM08,447
PTCOM09,734
PTCOM10,1568
PTCOM11,629
PTCOM12,1034
PTCOM13,857
PTCOM14,2063
PTCOM15,822
PTCOM16,1291
PTCOM17,1017
PTCOM18,422
PTCOM19,1312
PTCOM20,138
PTCOM21,213
PTCOM22,175
PTCOM23,188
PTCOM24,380
PTCOM25,269
PTCOM26,247
PTCOM27,278
PTCOM28,197
PTCOM29,355
PTCOM30,116
PTCOM31,182
PTCOM32,339
PTCOM33,297
PTCOM34,88
PTCOM35,497
PTCOM36,154
PTCOM37,932
PTCOM38,64
PTCOM39,67
PTCOM40,39
PTCOM41,95
"PTCRDM,PTCRDW,PTCRRM,PTCRRW",281
PTDAMD,97
PTECCMD,313
"PTECDM,PTECDW,PTECRM,PTECRW",88
PTECMD,443
PTEUMD,458
"PTFADM,PTFADW,PTFARM,PTFARW",40
PTFAMD,198
"PTFDDM,PTFDDW,PTFDRM,PTFDRW",126
"PTFRDM,PTFRDW,PTFRRM,PTFRRW",99
PTGLMD,76
PTGR2MD,16
PTGR3MD,6
PTGR4MD,4
"PTGRDM,PTGRDW,PTGRRM,PTGRRW",55
PTGRMD,615
PTGYMD,129
"PTJFDM,PTJFDW,PTJFRM,PTJFRW",88
"PTLBDM,PTLBDW,PTLBRM,PTLBRW",38
PTLIMD,132
"PTLNDM,PTLNDW,PTLNRM,PTLNRW",68
PTLP1,519
PTLP2,332
"PTNWDM,PTNWDW,PTNWRM,PTNWRW",103
PTOHAMD,219
PTOHMD,61
PTP-1,2863
PTP-2,2428
PTP2,245
PTPVMD,271
"PTRCDM,PTRCDW,PTRCRM,PTRCRW",85
"PTRIDM,PTRIDW,PTRIRM,PTRIRW",161
PTSCAMD,73
"PTSCDM,PTSCDW,PTSCRM,PTSCRW",312
PTSCMD,204
PTSHAMD,7
PTSHBMD,35
PTSHDMD,147
PTSHEBMD,2
PTSHMD,2
PTSMMD,558
PTSOMD,261
PTSVMD,659
"PTUNDM,PTUNDW,PTUNRM,PTUNRW",24
"PTWADM,PTWADW,PTWARM,PTWARW",49
PTWLMD,418
"PTWRDM,PTWRDW,PTWRRM,PTWRRW",70
PTWSAMD,5
PTWSBMD,26
PTWSMD,78
