precinct_text_name,Count
Clarence Twp,92
Clark,94
Clay Center City W1,774
Clay Center City W2,830
Clay Center City W3,667
Clay Center City W4,588
Clay Center Twp,293
Clay North 38,728
Clay North Enclave,4
Clay South H102-1,138
Clay South H102A,4
Clay South H104,461
Clay South H114,212
Clay Twp,54
Clear Creek,283
Clear Creek 053,22
Clear Creek Township,78
Clear Creek Twp,96
Clear Fork Twp,34
Cleveland 054,46
Cleveland Run Twp,40
Cleveland Twp,92
Clifford Twp,125
Clifton,139
Clifton City,178
Clifton Precinct,69
Clifton TWP,81
Climax City,46
Clinton 51,586
Clyde City / Elk,543
Coffeyville City,4916
Coffeyville W1 Pc 1 Exclaves,8
Colby City,3547
Coldwater City,483
Coldwater Twp.,139
Coleman Precinct,44
Colfax,88
Colfax TWP,290
Collyer City,62
Collyer Township,144
Colony City,291
Colorado Township,84
Columbia,38
Comanche Twp,312
Concord Twp,247
Concordia Wd1,513
Concordia Wd2 Pct1,618
Concordia Wd2 Pct2,656
Concordia Wd3,939
Concordia Wd4,449
Conkling Twp,13
Conway Springs (Conway Twnshp),556
Conway Sprngs (Springdale),242
Conway Twnshp H79,197
Conway Twshp H116,77
Coolidge,67
Copeland City,155
Copeland Twp,81
Cora Township,22
Corinth Twp,42
Corning City,145
Cottage Grove Twp,165
Cottage Hill Twp,99
Cottonwood,95
Council Grove - Ward 1,437
Council Grove - Ward 2,372
Council Grove - Ward 3,622
Courtland Twp / Courtland,281
Covert Twp,9
Coyville City,32
Crawford,328
Creek Twnshp,145
Creswell E. H12,432
Creswell E.H80,530
Creswell West,432
Croco - Tecumseh,3
Crooked Creek TWP,66
Crowe,190
Crystal,39
Crystal Plains Township,15
Cullen - Williamsport,759
Culver City,72
Culver Twp,78
Cunn-Dresden,166
Cunn-Rural,123
Custer Township,38
Cutler Twp,485
Dale,112
Danville City,24
Darlington B5,339
Darlington B5 North,88
Dayton,28
DB11,1066
DB12,1315
DB124,437
DB13,1
DB14,1198
DB19,1
DB211,957
DB22,1634
DB23,2032
DB31,475
DB315,41
DB32,1287
DB321,1051
DB325,134
DB326,192
DB341,91
DB345,3
DB36,991
DB37,304
DB38,16
DB41,809
DB42,1564
DB433,64
DB434,9
DB436,789
DB437,60
DB440,1280
DC Pct 001 H115 A,865
DC Pct 001 H119 B,836
DC Pct 002 H119 B,1129
DC Pct 003 H119 B,1441
DC Pct 004 H115 A,54
DC Pct 004 H119 B,2088
DC Pct 005,2544
DC Pct 006 H115 A,1529
DC Pct 006 H119 B,1182
DC Pct 007 H119 A,370
DC Pct 007 H119 B,4
DC Pct 009 H119 A,38
DC Pct 009 H119 B,96
DC Pct 012,3
De Soto 0-01,1669
De Soto 0-02,1063
De Soto 0-03,1279
De Soto 0-06,234
De Soto 0-07,269
Deer Creek,62
Deer Creek - Topeka,28
Deer Creek Twp,90
Deerfield,457
Deerhead Township Prct2,9
Delaware 1,857
Delaware Township,540
Delhi Twp,21
Delia City,105
Delmore Twp,107
Delphos City,195
Denison City,97
Denton City Precinct,92
Denton Country Precinct,113
Dexter,263
Diamond,126
Dighton City,708
Dighton Twp,165
Dixon Twnshp,131
DL03,1
DL04,2
DL10,3
Dodge Twp-3 H115 A,16
Dodge Twp-3 H119 B,49
Dodge Twp H115,342
Dodge Twp H119,75
Dodge TWP N H119,22
Dodge TWP W H119,1
Dor 110 Township,22
Dor 237 Township,2
Dor 392 Township,3
Dorrance City,104
Douglas,1276
Douglas 057,85
Douglass City/Twp,1260
Douglass Twp 32,126
Dover - Dover,552
Downs City,635
Downs Twnshp H79,80
Downs Twnshp H80,43
Doyle,35
Dresden,63
Driftwood,62
Drum Creek Twp CC1,312
Drum Creek Twp CC2,71
Drywood Township,316
