polling_place_text_name,Count
High Prairie Church-Altoona,1027
High View Church,433
Highland Community Center,700
Highland Community Center-Le,54
Highland Hgts Christian,1156
Highland Park HS,1471
Highland Park UMC,1388
Hillcrest Comm Ctr,1100
Hillcrest Community Building,452
Hillcrest Covenant Church,2072
Hillsboro United Methodist Church,2308
Hillside Christian Church,1966
Hilltop Conference Center Blue Valley,7428
HOA Reg. Volleyball Facility,3264
Hockett Auditorium,540
Hoisington Activity Center - Arts & Crafts Room,961
Hoisington Activity Center - Meeting Rm,1791
Holcomb Recreation Center,1753
Holm West (Green Ford Building) W1,734
Holm West (Green Ford Building) W2,1081
Holm West (Green Ford Building) W3,690
Holm West (Green Ford Building) W4-1,885
Holm West (Green Ford Building) W4-2,1053
Holy Cross Lutheran,4320
Holy Trinity Orthodox Church,2987
Holyrood Lutheran Parish Hall,404
Hoover Pavilion,5642
Hope Alive Church,1158
Hope Chapel,5801
Hope Church,4687
Hope Community Church,11359
Horton Blue Building,1809
House of Prayer Church,2024
Howard Cox Building,826
Hoyt Community Bldg,1686
Huck Boyd Center,2343
Huck Boyd Center (Glade),299
Humboldt Methodist Church,2005
Hunter Community Building,115
Immaculate Conception Parish Hall,927
Immanuel Church Hall,340
Immanuel Lutheran Church,2716
Immanuel United Methodist Church,478
Independence Community College - Fab Lab,1381
Indian Heights United Methodist Church,3583
Ingalls 4-H Bldg,364
Inman Community Center,1131
Inman Community Center*,553
Islamic Center of Johnson County,2890
Ja Co Courthouse,1366
Jamestown Activity Center,262
JCCC Midwest Trust Center,5881
Jennings Sr Center,127
Jewell Community Center,681
Jo Co Church Of Christ,2650
Jo Co Northeast Offices,6966
Jo Co Sunset Office Building,4281
Joe Amayo/Argentine Community Center,3982
Journey Bible Church,3912
Journey Church,3618
Journey Mennonite Church,526
JP Weigand,4137
Junction City Municipal Building,5354
K-State Res/Ext Ofc-Wildcat Rm.,2870
Kanopolis City Library,540
Kansas City Kansas Community College - TEC,2398
Kaw Prairie Community Church,3926
Keats Community Center,660
Kechi City Building,2881
Kelley Hall Ward 1,599
Kelley Hall Ward 2,550
Kelley Hall Ward 3,608
Kentucky Township Bldg,1199
King Center,902
Kingdom Life Church,3113
Kingman Expo Center North Room,660
Kingman Expo Center South Room,2110
Kinsley-Offerle Elementary School,182
Kirwin Fire Station,164
Kismet Pavilion,380
Kloppenberg Center,759
Knights of Columbus Hall,1444
Knights Of Columbus Hall,206
Knox Presbyterian Church,2132
KS NE Conf of 7th Day Adv,744
KU Edwards Campus,2440
La Cygne Community Building,1227
LaCrosse City Auditorium,1203
Lake Quivira City Hall,926
Lake SN Reynolds Lodge,1513
Lake SN Shelter 3,833
Lancaster City Hall,603
Lane County 4h Building (all),969
Langdon City Hall,144
Lansing Community Rm.,2796
Larned Community Center,3285
Larsen Community Center,694
Leav. Baptist Church,2215
Leav. Public Library,1589
Leawood City Hall,5187
Lebanon Community Center,387
Lebo Community Building,1133
Legacy Christian Church Blue Valley,1357
Legacy Christian Church Overland Park,2332
Lenexa Baptist Church,5177
Lenexa Community Center,2678
Lenexa United Methodist Church,3429
Lenora Community Building,288
Leon Senior Center,1121
Leonardville Comm Bldg,546
Leroy Community Building,808
Lewis City Hall,439
LI/SV Assaria Lutheran Ch,791
Liberty Community Church,373
Life Church,2769
Life Spring Church,4161
Light of the World,1588
Lighthouse Baptist Church,3069
Lincoln Township Hall,788
Lincolnville Community Center,531
Lindsborg J.O. Sundstrom Conference Center,854
Lindsborg Senior Center,726
Linn City Hall,614
Linn Valley City Hall,905
Linwood Community Bldg,2279
Linwood Recreation Center,2978
Lionsgate Clubhouse,1579
Lodge At Ironwoods,5062
Logan 4-H Bldg,146
Logan City Building,447
"Logan Park Bldg.,Drum Ck Twp - USD 447",201
Logan Park Building,550
Logan Park Building Cherry Township,375
London Heights Baptist Church,2551
Long Island Community Center,201
Longton Senior Center,467
Lord of Life Lutheran Church,2228
Lorraine City Office,160
Louisburg United Methodist Church,4850
Lowman UMC,1504
Lucas Community Center,302
Lutheran Church All Sf Precincts,1535
Lyndon Comm Bldg,1832
Mac Steele High School Gym,4284
Machinists Building,3088
Mae Lessley Community Center,914
Maize City Building,2310
Maize Performing Arts & Aquatic Center,2395
Manhattan Public Library,1783
Manhattan Senior Center,1508
Maple Hill Sr Center,854
Mapleton Community Bldg,446
Marquette Senior Center,578
Martin Creek Pl,825
Marysville Township Hall,1135
Masonic Lodge,983
Matt Ross Community Center,1507
Mayfield Community Center,196
Mc Louth Fire Station,1269
McCracken Community Building,308
McCune Community Center,576
McDonald Schoolhouse,321
Mcfarland Senior Citizens Cent,261
Meade City Building,1721
Meadow View Elementary,291
Medora Community Bible Church,1269
Melvern Comm Bldg,1264
Memorial Auditorium Pittsburg,1445
Memorial Hall,2922
Memorial Hall - Drum Ck - USD 446,182
Memorial Hall 1st of 1st,338
Memorial Hall 1st Pct 5th Ward,396
Memorial Hall 1st Pct 6th Ward,922
Memorial Hall 2nd Pct 1st Ward,473
Memorial Hall 2nd Pct 5th Ward,527
Memorial Hall 2nd Pct 6th Ward,791
Mennonite Friendship Manor,475
Mercy Hill Church,4593
Meridian Baptist Church,2573
Merriam Christian Church,1977
Merriam City Hall,2306
Merriam Community Center,2411
Messiah Lutheran Church,2836
Methodist Church Annex,279
Metropolitan Comm Ch,865
Milford City Building,1273
Miltonvale Comm. Center,436
Mission Hill Ch,1104
Mission Hills City Hall,2532
Mitchell County Fair Building,3072
Mitchell United Methodist,2217
MNU Cunningham Campus Center,3867
Moline Community Building,569
Montezuma/GY Amb Bldg,594
Montgomery Co Extension Council - Indep Twp Pct 2,315
Monticello Library,5922
Moran Senior Center,976
Morton County Courthouse,1620
Moscow Christian Fellowship Church,357
Mound Valley Community Center,506
Msvle American Legion Post #163 Oketo,640
Msvle American Legion Post #163 Ward 1 & 2,1262
Msvle American Legion Post #163 Ward 3 & 4,1027
Msvle American Legion Post 163,648
Mt Vernon Methodist Church,2107
Mt. Carmel Church of God in Christ,2300
Mt. Zion Baptist Church,1378
Mullinville Rec Gym,264
Mulvane Christian Church,2668
Mulvane School Admin Building,1526
Munden Comm. Hall,331
Municipal Bldg Basement,1218
Municipal Center,923
Municipal Hall ( Twp 3 East),97
Municipal Hall ( Twp 3 West),118
"Municipal Hall ( Waldron, Twp 2)",61
Municipal Hall (Anthony W1),661
Municipal Hall (Anthony W2),354
Municipal Hall (Anthony W3),161
Municipal Hall (Anthony W4),237
"Municipal Hall (Bluff, Freeport, Twp 4)",144
Murdock Methodist Church,880
Muscotah City Hall,567
N Hills Baptist Ch,1081
N Hills ES,1154
Nall Avenue Church of the Nazarene,1422
Natoma Community Center,268
Nazarene Church Gym,2056
Nemaha Co Comm Bldg - Adams,136
Nemaha Co Comm Bldg - Mitchell,244
Nemaha Co Comm Bldg - Richmond,404
Nemaha Co Comm Bldg - Seneca City Ward 1,355
Nemaha Co Comm Bldg - Seneca City Ward 2,552
Nemaha Co Comm Bldg - Seneca City Ward 3,597
Neodesha Methodist Church,1691
Neosho Rapids Community Building,725
Neosho Valley Event Center,1188
Netawaka Community Building,252
New Century Fieldhouse,6244
New City Church,3723
New Hope Ch,1038
New Hope Church of God in Christ,662
New Life Assembly of God,1359
New Life Community Church,2183
New Life Covenant Church,4192
New Life SDA Church,2073
New Story Church,3635
New Strawn Community Center,993
Nickerson Community Center,763
NLC Community Center,328
Norcatur City Hall,158
North Community Building,4511
North Newton City Building,1312
North Room 4-H Building,1003
Northland Christian Ch,1489
Northridge Community Ctr,1381
Northridge Community Ctr*,449
Northside Church of Christ,3967
Northwest Christian Church,2353
Oak Park Library,4829
Oak Ridge Missionary Baptist Church,4787
Oakland Comm Ctr,1842
Oakley,1566
Ogden Community Bldg,2768
Okun Fieldhouse,4053
Olathe Downtown Library,5220
Olathe Indian Creek Library,5970
Old Mission United Methodist Church,1652
Olivet Baptist Church,3465
Olivet Institutional Baptist Church,1611
Olsburg Fire Station,643
Onaga Community Center,1225
Open Door Baptist Church,3131
Osage City Comm Bldg,2780
Osage Community Center,520
Oskaloosa City Hall,1468
Oswego Community Center,1431
Otis City Hall,353
Ottawa Township Hall,1033
Our Saviors Luth Ch,963
Overland Park Arboretum Longhouse,2739
Overland Park Baptist Temple,2873
Overland Park Chamber of Commerce,1781
Overland Park Church of the Nazarene,1657
Overland Park Fire Department Training Center,6063
Overland Park Lutheran Church,3463
Oxford Lions Club Bldg,1053
Ozawkie Comm Bldg,1224
Palco Township Hall,256
Paola Adult Education Center,1357
Paola American Legion,5022
Park City City Hall,3537
Parker Sr. Center,692
Parkerfield Community Center,1221
Parkside Manor,746
Parsons Middle School,1619
Partridge Public Library,316
Pathway Church,3878
Patricia Diane Kane Community Center,3704
Paxico Senior Citizens Center,758
Payne,170
Peabody Senior Center,973
Peck Community Bldg,593
Pix Center,1385
Plains Community Building,1055
Plainville Twp Hall,1533
Planters II,3678
Pleasant Hill UMC,1638
Pleasant Valley Twp Hall,775
Pleasanton Community Center,1379
Pleasantview Baptist Church,3440
Plevna City Offices,168
Plum Shelter @ Sedgwick County Park,3386
Plymouth Congregational Church,3803
Pomona Community Building,1322
Pottawatomie Community,480
Pottorf Hall (Cico),1821
Prairie Center CGP,1610
Prairie Rock School House,118
Prairie Senior Center,855
Prairie View Community Center,183
Presbyterian Church,2229
Prescott City Hall,351
Prince of Peace - St Patrick's Parish Center,2675
Prince of Peace Luth Ch,1324
Princeton Community Building,587
Progressive Missionary Baptist Church,1847
Protection Twp. Library,422
Quindaro Community Center,3731
Radisson Hotel Lenexa,5707
Rainbow Mennonite Church,5790
Randolph VFW,800
Rantoul City Hall,593
Raymond Frye Complex 1,5739
Reading Civic Building,300
Recreation Annex Building,3558
Redeemer Lutheran Church,5650
Redfield City Hall,1277
Reformation Lutheran,4799
Reformed Presbyterian Church of Shawnee,3215
Reliance Community Church,3631
Reno Twp Fire Station,1220
RH Christian Church,5835
Rice Comm Ctr,973
Richland Township Hall,1701
Richmond Community Building,540
Riley City Hall,838
Rios de Agua Viva Apostolic Church,3159
Risen Savior Lutheran Church,7093
Riverside Christian Church,3840
Riverview Baptist Church,2210
Robinson Senior Citizens Center,495
Roeland Park Community Center,3968
Rolla Community Center,404
Rolling Hills Christian,1648
Rolling Hills Presbyterian Church,2400
Rosalia Community Bldg,432
Roxbury United Parish,260
Rozel Community Center,164
Rural Water District 4,463
S Hills Mennonite Ch,2192
S Village Mobile Pk,1411
Sabetha City Hall - Berwick,290
Sabetha City Hall - Capioma,115
Sabetha City Hall - Rock Creek,320
Sabetha City Hall - Sabetha City Ward 1,450
Sabetha City Hall - Sabetha City Ward 2,488
Sabetha City Hall - Sabetha City Ward 3,460
Sabetha City Hall - Sabetha City Ward 4,338
Sacred Heart Ch,1446
Sacred Heart Church,1313
Sacred Heart Hall,2927
Sacred Heart Parish Ctr,1749
Saint Andrew Christian Church,3589
Saint Mark United Methodist Church,2148
Salem United Methodist,4430
Salvation Army,778
Sarcoxie South Fire Station,780
Sauder Community Center,869
Savior Pastoral Center,2193
SC/WS(307) Br Un Meth Ch,360
Scammon Parrish Hall,1096
Scandia Community. Center,488
Scenic Woods Clubhouse,1621
Scheels Overland Park Soccer Complex,3161
Scranton Comm Bldg,813
Sdg Co Extension Ofc,2865
Seaman Comm Ch,1793
Seasons Venue @ Watson Park,2904
Second Christian Church,2731
Sedalia Community Church,770
