text_name_last,Count
Abushikha,3
Abutineh,1
Abuya,1
Abuyo,1
Abuzahra,1
Abuzeineh,1
Abuzetun,1
Abvabi,2
Acampora,1
Acasio,4
Acateca-Vazquez,1
Accad,2
Accaputo,1
Accardi,10
Accardi-Harrison,2
Accardi-Llamas,1
Accardo,7
Accetturo,1
Acciacca,2
Accilien,1
Accinot,1
Accomando,1
Accurso,16
Ace,3
Acea-Gallo,1
Acebedo,3
Acedo,4
Acedo-Jurado,2
Aceituno,1
Acelas,1
Acero-Villasenor,2
Acers,1
Aceto,2
Acevedo,81
Acevedo-Arellanes,1
Acevedo-Bueno,1
Acevedo-Cuevas,1
Acevedo-Gonzalez,1
Acevedo-Maldonado,1
Acevedo-Martinez,1
Acevedo-Ortega,1
Acevedo-Ortiz,1
Acevedo-Pando,1
Acevedo-Salguero,1
Acevedo-Villagrana,1
Acevedo De La Torre,1
Acevedo Farfan,1
Acevedo Marrero,1
Acevedo Muniz,1
Acevedo Nieves,1
Acevedo Ortiz,1
Acevedo Pena,1
Acevedo Ramirez,1
Acevedo Sanchez,1
Aceves,15
Aceves-Jimenez,1
Acha,2
Acham,1
Achankeng,2
Acharya,9
Acharya Thapa,1
Achatz,14
Achberger,1
Acheampong,4
Acheampong-Tetteh,1
Achemire,2
Achen,7
Achenbach,16
Achenbaugh,2
Achens,3
Achenson,1
Acheson,76
Acheson-Sokol,1
Achey,21
Achi,1
Achille,1
Achilles,28
Achilles-Jones,1
Achleitner,2
Achoki,1
Achong,2
Achor,3
Achord,4
Achour,1
Achten,7
Achtenberg,5
Achter,1
Achterberg,3
Achtermann,1
Achtmann,1
Achtouk,1
Achu,2
Achziger,1
Acierto,2
Acinelli,2
Acinger,7
Acinger-Vancas,1
Ackaway,1
Ackelmire,2
Ackelson,4
Acker,74
Ackeret,9
Ackeridge,1
Ackerknecht,1
Ackerley,7
Ackerly,14
Ackerman,217
Ackermann,14
Ackers,4
Ackerson,32
Ackfeld,3
Ackland,11
Acklen,1
Ackles,7
Ackles-Lee,1
Ackley,49
Acklin,20
Ackman,10
Ackman-Conrad,1
Ackmann,5
Ackors,16
Ackov,1
Ackward,9
Ackward-Brown,1
Acob,1
Acobes Lozada,1
Acock,4
Acocks,1
Acoff,1
Acon,4
Acopa,1
Acord,30
Acord-Morris,1
Acosta,312
Acosta-Albin,1
Acosta-Allauja,1
Acosta-Armendariz,1
Acosta-Carrillo,1
Acosta-Casillas,1
Acosta-Coffin,1
Acosta-Cruz,2
Acosta-Cuellar,1
Acosta-Delgado,1
Acosta-Devilleda,1
Acosta-Doucette,1
Acosta-Gamboa,1
Acosta-Harding,1
Acosta-Hernandez,2
Acosta-Kallevig,1
Acosta-Lane,1
Acosta-Macias,1
Acosta-Magana,1
Acosta-Marquez,2
Acosta-Martinez,1
Acosta-Medina,1
Acosta-Mendoza,1
Acosta-Monarrez,1
Acosta-Monterosa,1
Acosta-Monteroza,1
Acosta-Munoz,1
Acosta-Najera,2
Acosta-Piedra,1
Acosta-Rayos,1
Acosta-Rios,1
Acosta-Robles,1
Acosta-Rodriguez,1
Acosta-Solis,1
Acosta-Steiner,1
Acosta-Valle,2
Acosta-Vega,1
Acosta-Warren,1
Acosta-Williams,1
Acosta-Zaldana,1
Acosta Alvarez,1
Acosta Arreola,1
Acosta Cardelas,1
Acosta De Martinez,1
Acosta Del Rio,1
Acosta Delgado,1
Acosta Garcia,1
Acosta Gonzalez,2
Acosta Herrera,2
Acosta Legarda,1
Acosta Lopez,1
Acosta Marquez,2
Acosta Martinez,1
Acosta Ochoa,1
Acosta Rios,1
Acosta Rodriguez,2
Acosta Schneider,1
Acosta Serrano,1
Acosta Torres,1
Acosta Vasquez,1
Acostaibarra,1
Acotto,1
Acquah,1
Acquaviva,1
Acquaye,2
Acquistapace,2
Acre,6
Acre-Hess,1
Acred,3
Acree,35
Acres,3
Acrey,1
Acri,1
Acridge,13
Acsay,4
Actkinson,4
Acton,47
Acuesta,1
Acuff,21
Acuna,34
Acuna-Beck,2
Acuna-Moscoso,1
Acuna-Rice,2
Acuna-Ruiz,1
Acuna-Simmons,1
Acuna Tobar,1
Acuna Trejo,1
Ada,9
Adabala,2
Adabrah,1
Adachi,4
Adair,135
Adair-Cardinale,1
Adair-Cole,1
Adair-Jensen,1
Adair-Muder,1
Adakai,1
Adalid,1
Adam,168
Adam-Goth,1
Adam-Weddle,1
Adamah,3
Adamany,2
Adamchak,1
Adamcheck,1
Adamczak,1
Adame,132
Adame-Aguilar,1
Adame-Arias,2
Adame-Bipes,2
Adame-Blocker,2
Adame-Chairez,1
Adame-Demendez,1
Adame-Gomez,1
Adame-Hernandez,1
Adame-Marino,1
Adame-Mejia,1
Adame-Retana,1
Adame Castro,1
Adame De Flores,1
Adame De Portillo,1
Adame Gaytan,1
Adame Mares,1
